country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Guinea-Bissau,542,540,549,583,600,721,792,789,677,699,753,825,1060,954,880,717,711,717,714,777,862,805,865,852,864,914,905,903,951,1030,961,1090,1030,977,1060,1070,1200,1270,1220,1220,1390,1410,1420
Guyana,2070,1710,1640,1630,1890,2130,1890,1980,1900,1620,1710,1550,1650,1480,1400,1270,1370,1460,1290,1260,1260,1390,1580,1760,1450,1680,1680,1660,4210,1230,1080,1310,1230,1300,1330,1310,1160,1250,1380,14400,2080,2100,2120
Haiti,2960,3030,3120,3120,3120,3130,3170,3230,3370,3450,3590,3430,3520,3570,3610,3590,3340,3300,3310,3290,3310,3450,3660,3710,3740,3780,3890,3930,3980,4040,4130,4220,4170,4150,4170,4260,4320,4430,4490,4520,4500,4540,4590
Honduras,2550,2660,2700,2730,2980,3040,3000,3140,3160,3430,3380,3290,3670,3890,4130,4110,4130,4180,4130,3950,3970,4230,4030,3930,4160,4030,4170,3950,4000,3250,3450,3600,4180,4780,4900,5220,5180,5310,5420,5650,5730,5790,5840
Hungary,10400,10600,10100,10500,11200,10800,10800,11200,11800,11900,12100,12200,11500,11600,11700,11600,11000,11100,10900,10800,10100,9900,8850,8200,7700,7480,8680,8600,8420,8330,8240,8250,8430,8380,8270,7900,7790,7550,7410,7360,7280,7250,7130
Iceland,308,304,323,339,346,350,347,352,360,359,337,344,333,336,345,351,346,337,336,335,342,340,336,333,337,332,338,339,341,342,337,343,332,335,333,336,353,369,367,383,383,371,359
India,398000,401000,402000,408000,411000,421000,421000,429000,433000,436000,445000,454000,455000,469000,477000,480000,494000,498000,520000,533000,514000,521000,525000,529000,536000,542000,548000,551000,553000,571000,562000,568000,566000,575000,578000,585000,590000,598000,606000,621000,621000,629000,636000
Indonesia,127000,119000,195000,137000,123000,121000,148000,209000,153000,184000,183000,169000,476000,231000,163000,167000,228000,331000,161000,172000,212000,391000,365000,230000,358000,200000,196000,913000,277000,182000,170000,203000,343000,216000,250000,307000,516000,214000,216000,303000,219000,221000,223000
Iran,52000,55200,60700,68900,69800,63600,70000,67900,64900,48400,36500,35000,45400,44900,38300,38500,38400,40000,39300,42000,56700,60100,61400,62900,67400,69200,71500,73500,73600,75300,79800,80700,83800,92700,97300,100000,105000,108000,110000,113000,115000,118000,121000
Iraq,19700,21900,20500,22800,23200,24800,28200,25700,26600,32100,27100,15600,15800,15500,16900,19400,22000,22200,23400,24600,21400,11200,12100,12900,13200,13300,12700,16400,19300,21400,22300,22300,20700,18700,21300,20700,21300,21200,22700,23000,23900,24100,24400
Ireland,10200,10400,10400,10900,11500,11500,11300,11600,11800,12000,12100,11900,12100,12500,12700,12900,12900,12900,12800,13200,13900,14100,14100,14300,14400,14500,14700,14900,15100,14800,14900,15000,15000,15900,15300,15000,15000,14600,14400,14200,13900,14300,14300
Israel,1300,1320,1360,1410,1390,1550,1320,1350,1390,1410,1450,1460,1500,1550,1590,1630,1680,1750,1820,1860,1910,1950,2040,2130,2350,2420,2480,2520,2590,2640,2700,2770,2830,2930,3330,3450,3720,3840,3920,3650,3350,3380,3420
Italy,40500,39200,39700,40800,40900,40700,42100,42900,43200,43700,43900,43900,43900,42900,45100,45500,45600,45900,46300,46800,47200,46300,46400,45900,46500,46500,47500,47200,46800,46400,46800,44600,43600,42600,41100,40100,38900,38400,37400,37200,37500,36300,35200
Jamaica,821,826,830,836,846,856,866,860,859,854,873,858,878,942,1070,1040,1100,1100,1100,1100,1240,1310,1380,1390,1380,1400,1380,1360,1360,1370,1380,1270,1270,1310,1320,1300,1310,1320,1330,1300,1290,1300,1320
Japan,102000,93300,89300,87800,86900,85200,85700,85600,80400,79400,77400,75600,74800,74600,74900,74500,73500,69900,68500,67800,66900,65300,65000,63600,62500,59900,56800,54200,50800,49500,47500,46200,44200,43400,43000,42300,41900,41600,41000,40400,40300,39700,39000
Jordan,362,384,403,439,435,438,413,442,464,503,500,549,566,574,591,633,618,677,722,788,866,971,1110,1180,1180,1220,1280,1280,1350,1340,1400,1380,1480,1590,1700,1830,1950,2080,2200,2130,2070,2090,2110
